"id_produk";"Title";"Price";"Luas_Bangunan";"Luas_Tanah";"Kamar_Tidur";"Tipe_Properti";"Tipe_Penawaran";"Lokasi"
"6102";"Rumah Dijual di Perumahan Taman Pondok Jati Sidoarjo";"1250000000";"198";"132";"5";"Rumah";"Dijual";"Sidoar"
"6103";"Dijual Rumah Pondok Chandra Cluster Blimbing";"1100000000";"100";"60";"2";"Rumah";"Dijual";"Sidoar"
"6104";"Rumah di jl Manggis Pondok chandra Carport 2 mobil";"2000000000";"170";"120";"3";"Rumah";"Dijual";"Sidoar"
"6105";"Rumah Gress Minimalis Cluster Rambutan Pondok Candra";"1350000000";"140";"90";"4";"Rumah";"Dijual";"Sidoar"
"6106";"Rumah 2 Lantai Harga Mulai 400 Jutaan The Anvaya Juanda Sedati Sidoarjo";"400000000";"46";"72";"2";"Rumah";"Dijual";"Sidoar"
"6107";"BU Perum Kemiri Indah Sidoarjo.";"950000000";"45";"201";"2";"Rumah";"Dijual";"Sidoar"
"6108";"Rumah dijual dengan 3 kamar tidur di Gedangan Jawa Timur";"990000000";"136";"136";"3";"Rumah";"Dijual";"Sidoar"
"6109";"DIJUAL SYDENY PURI SURYA JAYA BESAR MURAH";"2147483647";"120";"329";"3";"Rumah";"Dijual";"Sidoar"
"6110";"Dijual Rumah Denga Row Jalan 2 Mobil Di Graha Tirta Cluster Bromelia";"1350000000";"72";"135";"2";"Rumah";"Dijual";"Sidoar"
"6111";"PALING LAKU!! RUMAH MODERN STU 3BULAN";"330000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6112";"RUMAH MURAH DIAMOND CITY JUANDA LOKASI DEKAT RENCANA OERR ";"240000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6113";"STU 3BULAN RUMAH CANTIK MODERN DEKAT DENGAN RENCANA OERR";"335000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6114";"Rumah Murah Pondok Tjandra Candra";"1000000000";"100";"60";"2";"Rumah";"Dijual";"Sidoar"
"6115";"DIJUAL CEPAT RUMAH PERMATA JUANDA";"2147483647";"225";"300";"4";"Rumah";"Dijual";"Sidoar"
"6116";"Rumah Gress 'PokCan' & lebih murah dr harga Kantor alias rugi";"1450000000";"75";"84";"3";"Rumah";"Dijual";"Sidoar"
"6117";"Dijual Rumah di Perumahan Permata Safira ";"2147483647";"380";"192";"5";"Rumah";"Dijual";"Sidoar"
"6118";"JUAL RUMAH WATES TANGGULANGIN DIBAWAH HARGA PASAR";"1200000000";"525";"700";"4";"Rumah";"Dijual";"Sidoar"
"6119";"Dijual Cepat Rumah 2 Lantai Di Natura Residence Cluster Springfield";"800000000";"90";"90";"3";"Rumah";"Dijual";"Sidoar"
"6120";"Rumah asri lingkungan nyaman";"980000000";"150";"122";"2";"Rumah";"Dijual";"Sidoar"
"6121";"Rumah gress dekat akses tol lokasi strategis Pondok Tjandra";"2147483647";"165";"135";"4";"Rumah";"Dijual";"Sidoar"
"6122";"Dijual Rumah Di Waru Tambak Oso Dekat Pondok Candra";"500000000";"96";"96";"3";"Rumah";"Dijual";"Sidoar"
"6123";"RUMAH MURAH DI PURI SURYA JAYA SIDOARJO ";"1390000000";"275";"202";"2";"Rumah";"Dijual";"Sidoar"
"6124";"3 KAVLING JADI 1! RUMAH MEWAH DI PONDOK MUTIARA REGENCY SIDOARJO";"2147483647";"600";"408";"5";"Rumah";"Dijual";"Sidoar"
"6125";"JUAL CEPAT : Rumah Mewah 2 lt Siap Huni Di Taman Sidoharjo";"2147483647";"300";"238";"3";"Rumah";"Dijual";"Sidoar"
"6126";"TERMURAH RUMAH SEDATI SIDOARJO ";"350000000";"2";"75";"2";"Rumah";"Dijual";"Sidoar"
