"id_produk","Title","Price","Luas_Bangunan","Luas_Tanah","Kamar_Tidur","Tipe_Properti","Tipe_Penawaran","Lokasi"
"11428","Rumah Fully Furnished The Mansion Pakuwon Indah Surabaya","130000000","150","162","3","Rumah","Disewakan","Suraba"
"11429","Disewakan Rumah Babatan Mukti","40000000","175","175","4","Rumah","Disewakan","Suraba"
"11430","Disewakan Rumah Northwest Park Citraland Utara","23000000","36","72","1","Rumah","Disewakan","Suraba"
"11431","Disewakan Rumah Purimas Kuta","50000000","165","210","4","Rumah","Disewakan","Suraba"
"11432","Rumah di Klampis Semolo Barat","50000000","120","146","4","Rumah","Disewakan","Suraba"
"11433","Rumah Ngagel Jaya Selatan Strategis","55000000","200","220","3","Rumah","Disewakan","Suraba"
"11434","Rumah Disewa Bukit Palma Surabaya","35000000","135","135","3","Rumah","Disewakan","Suraba"
"11435","Rumah Jalan Pisces Karang Empat","30000000","70","70","2","Rumah","Disewakan","Suraba"
"11436","Rumah Cluster International Village 2 Citraland Surabaya Barat","50000000","160","210","4","Rumah","Disewakan","Suraba"
"11437","Rumah Mulyosari Prima STRATEGIS Baru Renovasi","65000000","144","144","3","Rumah","Disewakan","Suraba"
"11438","Rumah di Grand Eastwood Citraland Surabaya Kawasan Elit","85000000","200","162","3","Rumah","Disewakan","Suraba"
"11439","Rumah disewakan Griya kebraon barat Surabaya","45000000","170","170","4","Rumah","Disewakan","Suraba"
"11440","Grand Harvest - New Minimalis Include AC 2 unit & water heather 2 unit","35000000","87","126","2","Rumah","Disewakan","Suraba"
"11441","Rumah Lebak Indah Regency MINIMALIS SIAP HUNI","45000000","150","136","4","Rumah","Disewakan","Suraba"
"11442","Rumah Modern Minimalis Forest Mansion C","50000000","140","120","3","Rumah","Disewakan","Suraba"
